0-accuracy,0-accuracy-train,5-accuracy,5-accuracy-train,3-accuracy,3-accuracy-train,model,call,features,train data,test data,time
0.8881128748,0.9086427355,0.8855731922,0.8977224351,0.8871252205,0.9029944353,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn,train,test,2017-04-10 07:42:51
0.8872663139,0.9428442194,0.8845149912,0.9007176306,0.885361552,0.9081714103,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn,train,test,2017-04-10 07:44:18
0.8871252205,0.9076696771,0.8866313933,0.9020935961,0.8876895944,0.904875935,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap ar bpahal bpbhal bwahal bwanal bwbhal bwbnal,train,test,2017-04-10 07:52:43
0.8887477954,0.9219462689,0.8862786596,0.9053890713,0.8862081129,0.9097564313,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap ar bpahal bpbhal bwahal bwanal bwbhal bwbnal,train,test,2017-04-10 07:54:03
0.893686067,0.9220146871,0.8911463845,0.9149029982,0.8934038801,0.9186812017,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn bpahal bpbhal bwahal bwanal bwbhal bwbnal,train,test,2017-04-10 08:00:04
0.8946031746,0.9563187983,0.8926984127,0.921577571,0.8931216931,0.9285866326,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn bpahal bpbhal bwahal bwanal bwbhal bwbnal,train,test,2017-04-10 08:01:53
0.8969312169,0.9241356504,0.8938271605,0.9173432464,0.8967901235,0.9210302256,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal,train,test,2017-04-10 08:09:04
0.8951675485,0.9593215958,0.893686067,0.9248160311,0.895308642,0.9320949644,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal,train,test,2017-04-10 08:11:17
0.8987654321,0.9245423585,0.8970017637,0.9181490604,0.8988359788,0.9216992033,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb,train,test,2017-04-10 08:18:09
0.8961552028,0.9591923615,0.8949559083,0.9254317947,0.8962257496,0.9326157027,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb,train,test,2017-04-10 08:20:30
0.8997530864,0.9259981451,0.8989065256,0.9208591802,0.9003174603,0.9235008818,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe,train,test,2017-04-10 09:14:42
0.8997530864,0.9597511099,0.8975661376,0.928339567,0.8984832451,0.9345390136,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe,train,test,2017-04-10 09:32:06
0.9013756614,0.9285524235,,,0.9010229277,0.9263934501,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe ekg1lnz,train,test,2017-04-10 10:17:08
0.9021516755,0.9608648057,,,0.8996119929,0.9368842365,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe ekg1lnz,train,test,2017-04-10 10:32:48
0.9018694885,0.9265340875,0.9011640212,0.9212126741,0.9016578483,0.9238125646,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe ekg5ln,train,test,2017-04-10 11:17:28
0.9024338624,0.9600437876,0.8998236332,0.9288641063,0.900670194,0.9348811044,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe ekg5ln,train,test,2017-04-10 11:32:51
