,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9058071225480977,[ 0.90652138  0.90618431  0.90485673  0.90678763  0.90468551]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9149122127692529,[ 0.91581393  0.91757938  0.91326474  0.91480887  0.91309399]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.9119583135115998,[ 0.91299298  0.91470295  0.90983516  0.91237484  0.90988549]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.9186073526645941,[ 0.92057083  0.92211528  0.91608585  0.91812801  0.91613653]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.9153436812001461,[ 0.91797113  0.91874101  0.91298816  0.91514079  0.91187697]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.919746871853876,[ 0.92145583  0.9239407   0.91636243  0.91967694  0.91729822]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.9173903904236135,[ 0.91974114  0.92040049  0.91464764  0.91823865  0.91392377]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.9203332263881667,[ 0.92211959  0.92432791  0.91647306  0.92089395  0.91785141]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.9184745931473962,[ 0.92068145  0.92067707  0.91536674  0.91995353  0.91569398]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.920443859319165,[ 0.92267271  0.92377475  0.91619648  0.92128119  0.91829396]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.9193928464746817,[ 0.92178771  0.92145149  0.91636243  0.92094927  0.91641312]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.9206319353018619,[ 0.92333647  0.92327691  0.91641775  0.92155778  0.91857056]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.9203332263881667,[ 0.92234084  0.92239186  0.91708154  0.92155778  0.91829396]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9207868214052595,[ 0.92366834  0.92333223  0.91603053  0.92205565  0.91884715]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.9206429985949618,[ 0.92300459  0.92205996  0.91769001  0.92188969  0.91857056]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.9208200112845589,[ 0.92416616  0.92294502  0.91575396  0.92188969  0.91934502]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.9207425682328602,[ 0.9230599   0.92200465  0.91785596  0.92227693  0.91851524]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.9207204416466606,[ 0.92411085  0.92255781  0.91580927  0.92177906  0.91934502]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9208532011638584,[ 0.92256209  0.92200465  0.91824317  0.92233225  0.91912375]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9206651251811614,[ 0.92416616  0.92239186  0.91580927  0.92177906  0.91917907]
