HELDOUT,20000,50000,100000,263088
Multiclass-baseline,0.8666,0.8792,0.8852,0.8908
Ovr-outofbox-binarized,0.8667,0.8821,0.8882,0.8945
Ovr-binarized,0.8682,0.8826,0.8882,0.8949
Ovo-pwc-binarized,0.8678,0.8786,0.8861,0.8933
Ovo-majvote-binarized,0.8679,0.8794,0.8869,0.8951
,,,,
TRAIN,,,,
Multiclass-baseline,0.9449,0.9317,0.9218,0.9071
Ovr-outofbox-binarized,0.9367,0.9416,0.9303,0.9229
Ovr-binarized,0.9561,0.9416,0.9345,0.9227
Ovo-pwc-binarized,0.9439,0.9279,0.9309,0.9233
Ovo-majvote-binarized,0.946,0.9313,0.9346,0.9255
,,,,
TEST,,,,
Multiclass-baseline,0.8699,0.8806,0.8878,0.8941
Ovr-outofbox-binarized,0.8717,0.8833,0.89,0.8999
Ovr-binarized,0.8731,0.8835,0.8909,0.9
Ovo-pwc-binarized,0.871,0.8808,0.8912,0.8999
Ovo-majvote-binarized,0.8699,0.8812,0.8921,0.9
